item_id,name,supplier_id,safety_stock_quantity
100001,item_000000,903,10
100002,item_000001,621,10
100003,item_000002,306,10
100004,item_000003,66,10
100005,item_000004,81,10
100006,item_000005,9,10
100007,item_000006,866,10
100008,item_000007,989,10
100009,item_000008,739,10
100010,item_000009,375,10
100011,item_000010,26,10
100012,item_000011,149,10
100013,item_000012,413,10
100014,item_000013,810,10
100015,item_000014,787,10
100016,item_000015,237,10
100017,item_000016,441,10
100018,item_000017,933,10
100019,item_000018,860,10
100020,item_000019,741,10
100021,item_000020,825,10
100022,item_000021,952,10
100023,item_000022,985,10
100024,item_000023,562,10
100025,item_000024,679,10
100026,item_000025,981,10
100027,item_000026,72,10
100028,item_000027,122,10
100029,item_000028,620,10
100030,item_000029,129,10
100031,item_000030,913,10
100032,item_000031,495,10
100033,item_000032,808,10
100034,item_000033,296,10
100035,item_000034,760,10
100036,item_000035,785,10
100037,item_000036,98,10
100038,item_000037,689,10
100039,item_000038,262,10
100040,item_000039,458,10
100041,item_000040,947,10
100042,item_000041,540,10
100043,item_000042,100,10
100044,item_000043,563,10
100045,item_000044,985,10
100046,item_000045,948,10
100047,item_000046,77,10
100048,item_000047,335,10
100049,item_000048,911,10
100050,item_000049,372,10
100051,item_000050,539,10
100052,item_000051,720,10
100053,item_000052,463,10
100054,item_000053,468,10
100055,item_000054,727,10
100056,item_000055,401,10
100057,item_000056,266,10
100058,item_000057,678,10
100059,item_000058,676,10
100060,item_000059,507,10
100061,item_000060,683,10
100062,item_000061,619,10
100063,item_000062,292,10
100064,item_000063,502,10
100065,item_000064,629,10
100066,item_000065,449,10
100067,item_000066,897,10
100068,item_000067,876,10
100069,item_000068,749,10
100070,item_000069,146,10
100071,item_000070,718,10
100072,item_000071,273,10
100073,item_000072,412,10
100074,item_000073,337,10
100075,item_000074,884,10
100076,item_000075,940,10
100077,item_000076,156,10
100078,item_000077,531,10
100079,item_000078,940,10
100080,item_000079,780,10
100081,item_000080,76,10
100082,item_000081,410,10
100083,item_000082,774,10
100084,item_000083,104,10
100085,item_000084,589,10
100086,item_000085,140,10
100087,item_000086,534,10
100088,item_000087,280,10
100089,item_000088,7,10
100090,item_000089,340,10
100091,item_000090,387,10
100092,item_000091,489,10
100093,item_000092,729,10
100094,item_000093,259,10
100095,item_000094,253,10
100096,item_000095,504,10
100097,item_000096,169,10
100098,item_000097,119,10
100099,item_000098,379,10
100100,item_000099,939,10
100101,item_000100,601,10
100102,item_000101,566,10
100103,item_000102,614,10
100104,item_000103,209,10
100105,item_000104,502,10
100106,item_000105,26,10
100107,item_000106,740,10
100108,item_000107,616,10
100109,item_000108,660,10
100110,item_000109,421,10
100111,item_000110,890,10
100112,item_000111,385,10
100113,item_000112,228,10
100114,item_000113,818,10
100115,item_000114,512,10
100116,item_000115,222,10
100117,item_000116,552,10
100118,item_000117,711,10
100119,item_000118,493,10
100120,item_000119,939,10
100121,item_000120,311,10
100122,item_000121,537,10
100123,item_000122,723,10
100124,item_000123,614,10
100125,item_000124,393,10
100126,item_000125,703,10
100127,item_000126,330,10
100128,item_000127,701,10
100129,item_000128,202,10
100130,item_000129,606,10
100131,item_000130,265,10
100132,item_000131,667,10
100133,item_000132,525,10
100134,item_000133,425,10
100135,item_000134,268,10
100136,item_000135,220,10
100137,item_000136,893,10
100138,item_000137,883,10
100139,item_000138,628,10
100140,item_000139,223,10
100141,item_000140,521,10
100142,item_000141,729,10
100143,item_000142,280,10
100144,item_000143,720,10
100145,item_000144,281,10
100146,item_000145,438,10
100147,item_000146,132,10
100148,item_000147,820,10
100149,item_000148,367,10
100150,item_000149,508,10
100151,item_000150,787,10
100152,item_000151,262,10
100153,item_000152,969,10
100154,item_000153,911,10
100155,item_000154,266,10
100156,item_000155,52,10
100157,item_000156,47,10
100158,item_000157,74,10
100159,item_000158,387,10
100160,item_000159,309,10
100161,item_000160,2,10
100162,item_000161,482,10
100163,item_000162,78,10
100164,item_000163,88,10
100165,item_000164,558,10
100166,item_000165,105,10
100167,item_000166,804,10
100168,item_000167,525,10
100169,item_000168,706,10
100170,item_000169,378,10
100171,item_000170,783,10
100172,item_000171,121,10
100173,item_000172,667,10
100174,item_000173,223,10
100175,item_000174,616,10
100176,item_000175,339,10
100177,item_000176,207,10
100178,item_000177,459,10
100179,item_000178,372,10
100180,item_000179,653,10
100181,item_000180,94,10
100182,item_000181,540,10
100183,item_000182,440,10
100184,item_000183,98,10
100185,item_000184,258,10
100186,item_000185,287,10
100187,item_000186,408,10
100188,item_000187,790,10
100189,item_000188,126,10
100190,item_000189,866,10
100191,item_000190,999,10
100192,item_000191,165,10
100193,item_000192,282,10
100194,item_000193,845,10
100195,item_000194,216,10
100196,item_000195,374,10
100197,item_000196,808,10
100198,item_000197,391,10
100199,item_000198,765,10
100200,item_000199,986,10
100201,item_000200,641,10
100202,item_000201,408,10
100203,item_000202,191,10
100204,item_000203,474,10
100205,item_000204,608,10
100206,item_000205,485,10
100207,item_000206,723,10
100208,item_000207,301,10
100209,item_000208,855,10
100210,item_000209,11,10
100211,item_000210,990,10
100212,item_000211,689,10
100213,item_000212,251,10
100214,item_000213,879,10
100215,item_000214,360,10
100216,item_000215,754,10
100217,item_000216,274,10
100218,item_000217,798,10
100219,item_000218,184,10
100220,item_000219,145,10
100221,item_000220,245,10
100222,item_000221,922,10
100223,item_000222,851,10
100224,item_000223,36,10
100225,item_000224,423,10
100226,item_000225,359,10
100227,item_000226,675,10
100228,item_000227,379,10
100229,item_000228,193,10
100230,item_000229,277,10
100231,item_000230,695,10
100232,item_000231,659,10
100233,item_000232,810,10
100234,item_000233,406,10
100235,item_000234,68,10
100236,item_000235,254,10
100237,item_000236,575,10
100238,item_000237,914,10
100239,item_000238,8,10
100240,item_000239,973,10
100241,item_000240,60,10
100242,item_000241,56,10
100243,item_000242,516,10
100244,item_000243,318,10
100245,item_000244,184,10
100246,item_000245,538,10
100247,item_000246,919,10
100248,item_000247,851,10
100249,item_000248,807,10
100250,item_000249,702,10
100251,item_000250,409,10
100252,item_000251,110,10
100253,item_000252,371,10
100254,item_000253,181,10
100255,item_000254,47,10
100256,item_000255,968,10
100257,item_000256,463,10
100258,item_000257,875,10
100259,item_000258,189,10
100260,item_000259,180,10
100261,item_000260,220,10
100262,item_000261,855,10
100263,item_000262,698,10
100264,item_000263,953,10
100265,item_000264,57,10
100266,item_000265,727,10
100267,item_000266,917,10
100268,item_000267,347,10
100269,item_000268,618,10
100270,item_000269,228,10
100271,item_000270,416,10
100272,item_000271,863,10
100273,item_000272,449,10
100274,item_000273,96,10
100275,item_000274,63,10
100276,item_000275,713,10
100277,item_000276,972,10
100278,item_000277,764,10
100279,item_000278,493,10
100280,item_000279,288,10
100281,item_000280,755,10
100282,item_000281,960,10
100283,item_000282,424,10
100284,item_000283,677,10
100285,item_000284,55,10
100286,item_000285,60,10
100287,item_000286,278,10
100288,item_000287,742,10
100289,item_000288,992,10
100290,item_000289,961,10
100291,item_000290,76,10
100292,item_000291,379,10
100293,item_000292,578,10
100294,item_000293,609,10
100295,item_000294,32,10
100296,item_000295,504,10
100297,item_000296,867,10
100298,item_000297,194,10
100299,item_000298,901,10
100300,item_000299,860,10
100301,item_000300,13,10
100302,item_000301,610,10
100303,item_000302,157,10
100304,item_000303,45,10
100305,item_000304,631,10
